927|"416918"|"465580"|"24819427"
927|"416919"|"465580"|"24819428"
165|"416918"|"465581"|"24819429"
165|"416919"|"465581"|"24819430"
716|"416918"|"465582"|"24819431"
716|"416919"|"465582"|"24819432"
858|"416918"|"465583"|"24819433"
858|"416919"|"465583"|"24819434"
192|"416918"|"465584"|"24819435"
192|"416919"|"465584"|"24819436"
159|"416918"|"465585"|"24819437"
159|"416919"|"465585"|"24819438"
864|"416918"|"465586"|"24819441"
864|"416919"|"465586"|"24819442"
|"416919"|"465587"|"24819439"
|"416919"|"465588"|"24819440"
