|||"Rise"|"27925732"|"10438450"
|||"Dip"|"27925733"|"10438460"
|||"Talf"|"27925734"|"10438445"
|||"Rise"|"27925735"|"10438428"
|||"Rise"|"27925736"|"10438440"
|||"Rise"|"27925737"|"10438471"
|||"Rise"|"27925738"|"10438467"
|||"Rise"|"27925739"|"10438444"
|||"Dip"|"27925740"|"10438472"
||"Tread"||"27925744"|"10438446"
|||"Rise"|"27925745"|"10438447"
||"Tread"||"27925746"|"10438437"
|||"Rise"|"27925747"|"10438468"
||"Tread"||"27925748"|"10438451"
|||"Rise"|"27925749"|"10438452"
||"Tread"||"27925750"|"10438455"
|||"Rise"|"27925751"|"10438425"
||"Tread"||"27925752"|"10438476"
|||"Rise"|"27925753"|"10438477"
||"Tread"||"27925755"|"10438458"
|||"Rise"|"27925756"|"10438429"
||"Tread"||"27925758"|"10438478"
|||"Rise"|"27925759"|"10438479"
|||"Rise"|"27925762"|"10438463"
|||"Talf"|"27925763"|"10438475"
|||"Rise"|"27925769"|"10438436"
|||"Talf"|"27925770"|"10438466"
|||"Rise"|"27925772"|"10438441"
|||"Talf"|"27925773"|"10438461"
|||"Rise"|"27925775"|"10438462"
|||"Talf"|"27925776"|"10438432"
|||"Talf"|"27925779"|"10438464"
|||"Talf"|"27925780"|"10438433"
|||"Rise"|"27925782"|"10438469"
|||"Rise"|"27925784"|"10438453"
|||"Rise"|"27925786"|"10438426"
|||"Rise"|"27925788"|"10438434"
|||"Rise"|"27925790"|"10438456"
|||"Talf"|"27925791"|"10438427"
|||"Rise"|"27925795"|"10438438"
|||"Talf"|"27925796"|"10438470"
|||"Rise"|"27925798"|"10438481"
|||"Talf"|"27925799"|"10438482"
|||"Rise"|"27925804"|"10438430"
|||"Rise"|"27925808"|"10438454"
|||"Talf"|"27925809"|"10438424"
|||"Rise"|"27925811"|"10438435"
|||"Talf"|"27925812"|"10438465"
|||"Rise"|"27925814"|"10438431"
|||"Talf"|"27925815"|"10438459"
|||"Rise"|"27925817"|"10438442"
|||"Talf"|"27925818"|"10438443"
|||"Rise"|"27925823"|"10438480"
|||"Rise"|"27925825"|"10438473"
|||"Talf"|"27925826"|"10438474"
|||"Rise"|"27925828"|"10438448"
|||"Talf"|"27925829"|"10438449"
|||"Rise"|"27925835"|"10438483"
|||"Talf"|"27925836"|"10438484"
|||"Rise"|"27925838"|"10438457"
|||"Talf"|"27925839"|"10438439"
